Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
20.301,1.4,2.8,4.2,0.2928,0.5856,0.8784,-197.558,-197.46,-197.363,0.00406,0.0029,0.00174,11.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
20.701,1.4,2.8,4.2,0.2928,0.5856,0.8784,-197.558,-197.46,-197.363,0.00406,0.0029,0.00174,11.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
21.101,1.47,2.94,4.41,0.322812,0.645624,0.968436,-197.46,-197.363,-197.265,0.00406,0.0029,0.00174,12,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
21.501,1.47,2.94,4.41,0.322812,0.645624,0.968436,-197.46,-197.363,-197.265,0.00406,0.0029,0.00174,12.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
21.901,1.47,2.94,4.41,0.322812,0.645624,0.968436,-197.46,-197.363,-197.265,0.00406,0.0029,0.00174,12.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
22.301,1.54,3.08,4.62,0.354288,0.708576,1.06286,-197.363,-197.265,-197.167,0.00406,0.0029,0.00174,12.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
22.701,1.54,3.08,4.62,0.354288,0.708576,1.06286,-197.363,-197.265,-197.167,0.00406,0.0029,0.00174,13,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
23.101,1.61,3.22,4.83,0.387228,0.774456,1.16168,-197.265,-197.167,-197.07,0.00406,0.0029,0.00174,13.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
23.501,1.61,3.22,4.83,0.387228,0.774456,1.16168,-197.265,-197.167,-197.07,0.00406,0.0029,0.00174,13.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
23.901,1.61,3.22,4.83,0.387228,0.774456,1.16168,-197.265,-197.167,-197.07,0.00406,0.0029,0.00174,13.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
24.301,1.68,3.36,5.04,0.421632,0.843264,1.2649,-197.167,-197.07,-196.972,0.00406,0.0029,0.00174,14,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
24.701,1.68,3.36,5.04,0.421632,0.843264,1.2649,-197.167,-197.07,-196.972,0.00406,0.0029,0.00174,14.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
25.101,1.75,3.5,5.25,0.4575,0.915,1.3725,-197.07,-196.972,-196.874,0.00406,0.0029,0.00174,14.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
25.501,1.75,3.5,5.25,0.4575,0.915,1.3725,-197.07,-196.972,-196.874,0.00406,0.0029,0.00174,14.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
25.901,1.75,3.5,5.25,0.4575,0.915,1.3725,-197.07,-196.972,-196.874,0.00406,0.0029,0.00174,15,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
26.301,1.82,3.64,5.46,0.494832,0.989664,1.4845,-196.972,-196.874,-196.777,0.00406,0.0029,0.00174,15.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
27.701,1.89,3.78,5.67,0.533628,1.06726,1.60088,-196.874,-196.777,-196.679,0.00406,0.0029,0.00174,15.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
28.101,1.96,3.92,5.88,0.573888,1.14778,1.72166,-196.777,-196.679,-196.581,0.00406,0.0029,0.00174,15.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
28.501,1.96,3.92,5.88,0.573888,1.14778,1.72166,-196.777,-196.679,-196.581,0.00406,0.0029,0.00174,16,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
28.901,1.96,3.92,5.88,0.573888,1.14778,1.72166,-196.777,-196.679,-196.581,0.00406,0.0029,0.00174,16.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
29.301,2.03,4.06,6.09,0.615612,1.23122,1.84684,-196.679,-196.581,-196.484,0.00406,0.0029,0.00174,16.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
29.701,2.03,4.06,6.09,0.615612,1.23122,1.84684,-196.679,-196.581,-196.484,0.00406,0.0029,0.00174,16.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
30.101,2.1,4.2,6.3,0.6588,1.3176,1.9764,-196.581,-196.484,-196.386,0.00406,0.0029,0.00174,17,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
30.501,2.1,4.2,6.3,0.6588,1.3176,1.9764,-196.581,-196.484,-196.386,0.00406,0.0029,0.00174,17.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
30.901,2.1,4.2,6.3,0.6588,1.3176,1.9764,-196.581,-196.484,-196.386,0.00406,0.0029,0.00174,17.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
31.301,2.17,4.34,6.51,0.703452,1.4069,2.11036,-196.484,-196.386,-196.288,0.00406,0.0029,0.00174,17.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
31.701,2.17,4.34,6.51,0.703452,1.4069,2.11036,-196.484,-196.386,-196.288,0.00406,0.0029,0.00174,18,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
32.101,2.24,4.48,6.72,0.749568,1.49914,2.2487,-196.386,-196.288,-196.19,0.00406,0.0029,0.00174,18.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
32.501,2.24,4.48,6.72,0.749568,1.49914,2.2487,-196.386,-196.288,-196.19,0.00406,0.0029,0.00174,18.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
32.901,2.24,4.48,6.72,0.749568,1.49914,2.2487,-196.386,-196.288,-196.19,0.00406,0.0029,0.00174,18.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
33.301,2.31,4.62,6.93,0.797148,1.5943,2.39144,-196.288,-196.19,-196.093,0.00406,0.0029,0.00174,19,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
33.701,2.31,4.62,6.93,0.797148,1.5943,2.39144,-196.288,-196.19,-196.093,0.00406,0.0029,0.00174,19.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
34.101,2.38,4.76,7.14,0.846192,1.69238,2.53858,-196.19,-196.093,-195.995,0.00406,0.0029,0.00174,19.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
34.501,2.38,4.76,7.14,0.846192,1.69238,2.53858,-196.19,-196.093,-195.995,0.00406,0.0029,0.00174,19.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
34.901,2.38,4.76,7.14,0.846192,1.69238,2.53858,-196.19,-196.093,-195.995,0.00406,0.0029,0.00174,20,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
35.301,2.45,4.9,7.35,0.8967,1.7934,2.6901,-196.093,-195.995,-195.897,0.00406,0.0029,0.00174,20.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
35.701,2.45,4.9,7.35,0.8967,1.7934,2.6901,-196.093,-195.995,-195.897,0.00406,0.0029,0.00174,20.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
36.101,2.52,5.04,7.56,0.948672,1.89734,2.84602,-195.995,-195.897,-195.8,0.00406,0.0029,0.00174,20.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
36.501,2.52,5.04,7.56,0.948672,1.89734,2.84602,-195.995,-195.897,-195.8,0.00406,0.0029,0.00174,21,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
36.901,2.52,5.04,7.56,0.948672,1.89734,2.84602,-195.995,-195.897,-195.8,0.00406,0.0029,0.00174,21.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
37.301,2.59,5.18,7.77,1.00211,2.00422,3.00632,-195.897,-195.8,-195.702,0.00406,0.0029,0.00174,21.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
37.701,2.59,5.18,7.77,1.00211,2.00422,3.00632,-195.897,-195.8,-195.702,0.00406,0.0029,0.00174,21.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
38.101,2.66,5.32,7.98,1.05701,2.11402,3.17102,-195.8,-195.702,-195.604,0.00406,0.0029,0.00174,22,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
38.501,2.66,5.32,7.98,1.05701,2.11402,3.17102,-195.8,-195.702,-195.604,0.00406,0.0029,0.00174,22.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
38.901,2.66,5.32,7.98,1.05701,2.11402,3.17102,-195.8,-195.702,-195.604,0.00406,0.0029,0.00174,22.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
39.301,2.73,5.46,8.19,1.11337,2.22674,3.34012,-195.702,-195.604,-195.507,0.00406,0.0029,0.00174,22.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
39.701,2.73,5.46,8.19,1.11337,2.22674,3.34012,-195.702,-195.604,-195.507,0.00406,0.0029,0.00174,23,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
40.101,2.8,5.6,8.4,1.1712,2.3424,3.5136,-195.604,-195.507,-195.409,0.00406,0.0029,0.00174,23.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
40.501,2.8,5.6,8.4,1.1712,2.3424,3.5136,-195.604,-195.507,-195.409,0.00406,0.0029,0.00174,23.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
40.901,2.8,5.6,8.4,1.1712,2.3424,3.5136,-195.604,-195.507,-195.409,0.00406,0.0029,0.00174,23.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
41.301,2.87,5.74,8.61,1.23049,2.46098,3.69148,-195.507,-195.409,-195.311,0.00406,0.0029,0.00174,24,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
41.701,2.87,5.74,8.61,1.23049,2.46098,3.69148,-195.507,-195.409,-195.311,0.00406,0.0029,0.00174,24.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
42.101,2.94,5.88,8.82,1.29125,2.5825,3.87374,-195.409,-195.311,-195.214,0.00406,0.0029,0.00174,24.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
42.501,2.94,5.88,8.82,1.29125,2.5825,3.87374,-195.409,-195.311,-195.214,0.00406,0.0029,0.00174,24.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
42.901,2.94,5.88,8.82,1.29125,2.5825,3.87374,-195.409,-195.311,-195.214,0.00406,0.0029,0.00174,25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
43.301,3.01,6.02,9.03,1.35347,2.70694,4.0604,-195.311,-195.214,-195.116,0.00406,0.0029,0.00174,25.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
43.701,3.01,6.02,9.03,1.35347,2.70694,4.0604,-195.311,-195.214,-195.116,0.00406,0.0029,0.00174,25.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
44.101,3.08,6.16,9.24,1.41715,2.8343,4.25146,-195.214,-195.116,-195.018,0.00406,0.0029,0.00174,25.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
44.501,3.08,6.16,9.24,1.41715,2.8343,4.25146,-195.214,-195.116,-195.018,0.00406,0.0029,0.00174,26,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
44.901,3.08,6.16,9.24,1.41715,2.8343,4.25146,-195.214,-195.116,-195.018,0.00406,0.0029,0.00174,26.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
45.301,3.15,6.3,9.45,1.4823,2.9646,4.4469,-195.116,-195.018,-194.921,0.00406,0.0029,0.00174,26.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
45.701,3.15,6.3,9.45,1.4823,2.9646,4.4469,-195.116,-195.018,-194.921,0.00406,0.0029,0.00174,26.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
46.101,3.22,6.44,9.66,1.54891,3.09782,4.64674,-195.018,-194.921,-194.823,0.00406,0.0029,0.00174,27,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
46.501,3.22,6.44,9.66,1.54891,3.09782,4.64674,-195.018,-194.921,-194.823,0.00406,0.0029,0.00174,27.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
46.901,3.22,6.44,9.66,1.54891,3.09782,4.64674,-195.018,-194.921,-194.823,0.00406,0.0029,0.00174,27.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
47.301,3.29,6.58,9.87,1.61699,3.23398,4.85096,-194.921,-194.823,-194.725,0.00406,0.0029,0.00174,27.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
47.701,3.29,6.58,9.87,1.61699,3.23398,4.85096,-194.921,-194.823,-194.725,0.00406,0.0029,0.00174,28,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
48.101,3.36,6.72,10.08,1.68653,3.37306,5.05958,-194.823,-194.725,-194.628,0.00406,0.0029,0.00174,28.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
48.501,3.36,6.72,10.08,1.68653,3.37306,5.05958,-194.823,-194.725,-194.628,0.00406,0.0029,0.00174,28.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
48.901,3.36,6.72,10.08,1.68653,3.37306,5.05958,-194.823,-194.725,-194.628,0.00406,0.0029,0.00174,28.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
49.301,3.43,6.86,10.29,1.75753,3.51506,5.2726,-194.725,-194.628,-194.53,0.00406,0.0029,0.00174,29,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
49.701,3.43,6.86,10.29,1.75753,3.51506,5.2726,-194.725,-194.628,-194.53,0.00406,0.0029,0.00174,29.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
50.101,3.5,7,10.5,1.83,3.66,5.49,-194.628,-194.53,-194.432,0.00406,0.0029,0.00174,29.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
50.501,3.5,7,10.5,1.83,3.66,5.49,-194.628,-194.53,-194.432,0.00406,0.0029,0.00174,29.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
50.901,3.5,7,10.5,1.83,3.66,5.49,-194.628,-194.53,-194.432,0.00406,0.0029,0.00174,30,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
51.301,3.57,7.14,10.71,1.90393,3.80786,5.7118,-194.53,-194.432,-194.335,0.00406,0.0029,0.00174,30.25,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
51.701,3.57,7.14,10.71,1.90393,3.80786,5.7118,-194.53,-194.432,-194.335,0.00406,0.0029,0.00174,30.5,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,
